Supplier Code,Brand,Task Code,Purchase Code,Contact Information,Company Name,Country,Website,Description,Fisrt Communicated By,store link
S-01,P+F,"277, 381, 406",277,Jim,GSI,China,,*,Hana,
S-01,Emerson,"383, 427",,Jim,GSI,China,,*,Hana,
S-01,E+H,"905, 1168",905,Jim,GSI,China,,*,Hana,
S-01,Bently Nevada,"377, 379, 419",377,Jim,GSI,China,,*,Hana,
S-03,,,,,,,,,,
S-04,,,,,,,,,,
S-05,,,,,,,,,,
S-06,,,,,,,,,,
S-07,,,,,,,,,,
S-08,,,,,,,,,,
S-09,pilz,279,,Wechat Num:Cancy18968718711,,China ,,,Alexander,
S-09,ABB,172,,Wechat ID: Cancy18968718711,"Wenzhou Yibiyi Electric Co., Ltd.",China,,wechat- 12 years,Hana,
S-10,,,,,,,,,,
S-85,Allen Bradley,2422,,Wechat Num: 158 214 28 665,"Guanghui Network Technology (Shanghai) Co., Ltd.",China ,,Wechat - 8 years,Hana,
S-1000,,,,,,,,,,
S-1001,,,,,,,,,,
S-1002,,,,,,,,,,
S-1003,,,,,,,,,,
S-1004,,,,,,,,,,
S-1005,,,,,,,,,,
S-101,,,,,,,,,,
S-102,,,,,,,,,,
S-103,,,,,,,,,,
S-104,,,,,,,,,,
S-105,,,,,,,,,,
S-106,,,,,,,,,,
S-107,,,,,,,,,,
S-108,,,,,,,,,,
S-109,,,,,,,,,,
S-11,,,,,,,,,,
S-110,,,,,,,,,,
S-111,,,,,,,,,,
S-112,,,,,,,,,,
S-113,,,,,,,,,,
S-114,,,,,,,,,,
S-115,,,,,,,,,,
S-116,,,,,,,,,,
S-117,,,,,,,,,,
S-118,,,,,,,,,,
S-119,,,,,,,,,,
S-12,,,,,,,,,,
S-120,,,,,,,,,,
S-121,P+F,443,,,,,,,,
S-122,,,,,,,,,,
S-123,,,,,,,,,,
S-124,,,,,,,,,,
S-125,,,,,,,,,,
S-126,,,,,,,,,,
S-127,P+F,443,,,,,,,,
S-128,,,,,,,,,,
S-129,,,,,,,,,,
S-13,,,,,,,,,,
S-130,,,,,,,,,,
S-131,Festo,1285,,Wehat Number: wxid_me2ymyqe0eri22,"Dongguan Tengwei Automation Equipment Co., Ltd.",China,,Wechat- 15 years,Hana,
S-132,phoenix contact,1317,,Wechat Num: 17317326501,"Shanghai Quanxin Electrical Equipment Co., Ltd.",China ,,wechat - 12 years,Hana,
S-133,,,,,,,,,,
S-134,,,,,,,,,,
S-135,,,,,,,,,,
S-136,,,,,,,,,,
S-137,Bently Nevada,"377, 379, ",,Wechat Number:18248887008,"Suzhou Shuiyun Building Technology Co., Ltd.",China,,We chat-5 years,Hana,
S-138,,,,,,,,,,
S-139,Schneider,TDR-166,,Wechat Number: 19815631399,"Shanghai Huisheng Electrical Equipment Co., Ltd",China,,1688-16 years,Henry,
S-14,,,,,,,,,,
S-140,,,,,,,,,,
S-141,Schneider,395,,Wechat Number:13691668515,-,China,,We chat-13 years,Hana,
S-142,Yokogawa,,,Wechat Number:15711883876,-,China,,We chat-13 years-*,Hana,
S-142,Eaton,462,,Wechat Number:15711883876,-,China,,We chat-13 years-*,Hana,
S-143,,,,,,,,,,
S-144,,,,,,,,,,
S-145,,,,,,,,,,
S-146,,,,,,,,,,
S-147,,,,,,,,,,
S-148,Allen Bradley,1072,,Wechat Num: 13410225904,"Shenzhen Xinjintong Automation Equipment Co., Ltd.",China ,,Wechat- 14 years,,
S-149,,,,,,,,,,
S-15,,,,,,,,,,
S-150,ABB,,,Wechat Number: xuxuzi888-666,-,China,,We chat- *,Hana,
S-151,Emerosn ,TDR497,,Wechat Num: 180 3767 5584,"Shenzhen Chuanglian Information Technology Co., Ltd.",China ,,wechat- 7 years,Hana ,
S-151,,,,,,,,,,
S-152,,,,,,,,,,
S-153,,,,,,,,,,
S-154,,,,,,,,,,
S-155,Siemens,617,,We chat Number: 13661766554,,China,,We chat-9 years,Hana ,
